"log_id","employee_id","room","entry_time","exit_time"
1,1,"Office","2025-10-15 08:00:00","2025-10-15 12:00:00"
2,2,"HR Office","2025-10-15 08:30:00","2025-10-15 17:00:00"
3,3,"Finance Office","2025-10-15 08:45:00","2025-10-15 12:30:00"
4,4,"Server Room","2025-10-15 08:50:00","2025-10-15 09:10:00"
5,5,"Marketing Office","2025-10-15 09:00:00","2025-10-15 17:30:00"
6,6,"Office","2025-10-15 08:30:00","2025-10-15 12:30:00"
7,7,"Finance Office","2025-10-15 08:00:00","2025-10-15 18:00:00"
8,8,"Server Room","2025-10-15 08:40:00","2025-10-15 09:05:00"
9,9,"Support Office","2025-10-15 08:30:00","2025-10-15 16:30:00"
10,10,"HR Office","2025-10-15 09:00:00","2025-10-15 17:00:00"
11,4,"CEO Office","2025-10-15 20:50:00","2025-10-15 21:00:00"
